Point,X_mm,Y_mm,Type
1,0.00E+00,7.149998257,
2,-0.999999978,7.099999841,Line
3,-1.758826912,6.749570534,Line
4,-2.487270067,5.785223498,Line
5,-3.767653539,5.210652884,Line
6,-4.54948723,4.555800442,Midpoint
7,-4.868854188,3.348312242,Arc
8,-4.799999893,2.499999944,Line
9,-5.435999947,1.370486947,Line
10,-6.109997476,-1.94E-06,Line
11,-6.499997482,-1.430001958,Line
12,-6.629997484,-3.120001984,Line
13,-6.499997646,-4.550001743,Line
14,-6.295497714,-5.744486468,Line
15,-5.825685475,-6.712450862,Line
16,-5.069997644,-7.800001743,Line
17,-4.289997449,-8.580002065,Line
18,-3.379997435,-9.230002075,Line
19,-2.469997422,-9.750002082,Line
20,-1.299997404,-10.27000209,Line
21,0.00E+00,-10.41300122,Line
22,1.299997404,-10.27000209,Line
23,2.3,-10,Line
24,3,-9.750002082,Line
25,3.938,-9.477,Midpoint
26,4.557,-8.799,Arc
27,5.069997644,-7.800001743,Line
28,5.825685475,-6.712450862,Line
29,6.295497714,-5.744486468,Line
30,6.499997646,-4.550001743,Line
31,6.629997484,-3.120001984,Line
32,6.499997482,-1.430001958,Line
33,6.109997476,0.00E+00,Line
34,5.435999947,1.370486947,Line
35,4.549997646,2.599998257,Line
36,3.899997443,3.769998119,Line
37,3.12473181,4.880088516,Line
38,2.487270067,5.785223498,Line
39,1.758826912,6.749570534,Line
40,0.999999978,7.099999841,Line
41,0.00E+00,7.149998257,Line
